iter	Logloss
0	0.6911698211
1	0.6895312824
2	0.687627093
3	0.6860315309
4	0.6843408498
5	0.6825815436
6	0.6809595589
7	0.6788917848
8	0.6770706548
9	0.6755239285
10	0.6742338053
11	0.6727683299
12	0.6713188879
13	0.6696819424
14	0.6676428652
15	0.6667536274
16	0.6652346373
17	0.663602213
18	0.6619315933
19	0.6607415362
20	0.6588778442
21	0.6576483822
22	0.6565382831
23	0.6552730578
24	0.6537402731
25	0.651875416
26	0.6500414227
27	0.6487036771
28	0.6473411182
29	0.6460904428
30	0.6445816636
31	0.6425394582
32	0.641063114
33	0.6396232569
34	0.6370545855
35	0.6356075453
36	0.6342275692
37	0.6325783689
38	0.6309747761
39	0.6295988356
40	0.6282546432
41	0.6269685711
42	0.6256695253
43	0.6237477359
44	0.6223613092
45	0.6207841955
46	0.6193255559
47	0.6178412071
48	0.6163148312
49	0.614933334
50	0.6134476376
51	0.6120190118
52	0.6106130375
53	0.6090238901
54	0.6077400949
55	0.6067150092
56	0.6051480205
57	0.6036432326
58	0.6024426402
59	0.6012924115
60	0.6001608272
61	0.5991326186
62	0.5978661738
63	0.5964908097
64	0.5953892314
65	0.5936014733
66	0.5924111704
67	0.5915369391
68	0.5905755206
69	0.5891494453
70	0.5876706283
71	0.5861463035
72	0.5847885131
73	0.5832534544
74	0.5819396994
75	0.5805231271
76	0.5793225269
77	0.5777240507
78	0.5759755004
79	0.5744141806
80	0.5731627829
81	0.5711939003
82	0.5699450653
83	0.568346492
84	0.5672288605
85	0.5655794252
86	0.5642516113
87	0.5631721194
88	0.5618852712
89	0.560468955
90	0.559256024
91	0.5576489059
92	0.5563677369
93	0.5550666849
94	0.5537869955
95	0.5526713065
96	0.5511057787
97	0.5500022545
98	0.5489012338
99	0.548164313
100	0.5468169345
101	0.5457464177
102	0.544611752
103	0.542960971
104	0.5419337178
105	0.5412051845
106	0.5401217993
107	0.5388557309
108	0.5381239497
109	0.5373992777
110	0.5359101879
111	0.5347287965
112	0.5335240538
113	0.5319768408
114	0.5310775147
115	0.5301698279
116	0.5289431078
117	0.5279629007
118	0.5269484234
119	0.5260432214
120	0.5249140939
121	0.5236602928
122	0.5225640573
123	0.5210160005
124	0.5198676853
125	0.5191254225
126	0.5175729431
127	0.5162086524
128	0.5152095146
129	0.5143642065
130	0.5133092931
131	0.5121073835
132	0.5112195971
133	0.5101762209
134	0.5090744769
135	0.5079689603
136	0.5069698474
137	0.5056614671
138	0.5045268293
139	0.5037153742
140	0.5027055386
141	0.501707136
142	0.5006856701
143	0.4993831466
144	0.49821564
145	0.4970949056
146	0.4962322892
147	0.4949910287
148	0.4938529662
149	0.4928207894
150	0.4916585696
151	0.4906910596
152	0.4897917863
153	0.488836186
154	0.487906366
155	0.4870026081
156	0.4861126778
157	0.4851144639
158	0.4841068344
159	0.4830554407
160	0.4821039978
161	0.4810302854
162	0.4798413645
163	0.4790702015
164	0.47807257
165	0.4769716989
166	0.4758935006
167	0.4747297143
168	0.4739016195
169	0.4728660559
170	0.4718590298
171	0.4707441901
172	0.4700200018
173	0.4687749657
174	0.4680864625
175	0.467266505
176	0.466068736
177	0.4649942468
178	0.4641377671
179	0.4631056705
180	0.4622177593
181	0.4611822404
182	0.4600857074
183	0.4591820867
184	0.4584293527
185	0.4575429354
186	0.4563954783
187	0.4553581576
188	0.454495466
189	0.4533609642
190	0.4520922999
191	0.4510416687
192	0.4502110158
193	0.4494942079
194	0.4481354871
195	0.447168588
196	0.4463203711
197	0.4453803922
198	0.4445351002
199	0.4439103926
200	0.4428009254
201	0.4420994421
202	0.4410855075
203	0.4402221404
204	0.4393198639
205	0.4382926157
206	0.4370691615
207	0.436017034
208	0.434995501
209	0.4338362006
210	0.4329523245
211	0.4319701257
212	0.4313100626
213	0.4306749099
214	0.4295035737
215	0.4284421653
216	0.4276273095
217	0.4266960522
218	0.425631078
219	0.4247582735
220	0.4237871996
221	0.4229385418
222	0.4225874338
223	0.4215849657
224	0.4211092517
225	0.4201869108
226	0.4192763722
227	0.4185405957
228	0.4176226743
229	0.4169283919
230	0.4161708765
231	0.4152470337
232	0.4143996667
233	0.4138044013
234	0.4129404227
235	0.411981659
236	0.4112419455
237	0.4102287305
238	0.4094829354
239	0.4086623682
240	0.4075943356
241	0.4069511245
242	0.4060305984
243	0.4052430211
244	0.4045889465
245	0.4036209186
